Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.5107E-12,-0.010391,0.059342,0,0,0,3.9684,0.068308,2.8787E-12,-8.8418E-14,0.03715,0.00010785,0.091228,0,0,0,0,0,0,package://B2_mark_02/meshes/base_link.STL,0.96471,0.96471,0.95294,1,0,0,0,0,0,0,package://B2_mark_02/meshes/base_link.STL,,Untitled.step-1/chassis.step-1/Component3_2.step-11;Untitled.step-1/chassis.step-1/Component1_3.step-11;Untitled.step-1/chassis.step-1/frame pipe 1.step-1;Untitled.step-1/chassis.step-1/chassis-0.step-1;Untitled.step-1/chassis.step-1/frame pipe 3.step-1;Untitled.step-1/chassis.step-1/frame connector 3.step-2;Untitled.step-1/chassis.step-1/frame pipe 2.step-1;Untitled.step-1/chassis.step-1/frame pipe 3.step-2;Untitled.step-1/chassis.step-1/frame connector 3.step-6;Untitled.step-1/chassis.step-1/frame pipe 2.step-3;Untitled.step-1/chassis.step-1/frame pipe 1.step-3;Untitled.step-1/chassis.step-1/frame connector 3.step-3;Untitled.step-1/chassis.step-1/frame pipe 1.step-2;Untitled.step-1/chassis.step-1/frame pipe 3.step-3;Untitled.step-1/chassis.step-1/frame connector 3.step-7;Untitled.step-1/chassis.step-1/frame connector 3.step-1;Untitled.step-1/chassis.step-1/frame pipe 2.step-2;Untitled.step-1/chassis.step-1/frame connector 3.step-4;Untitled.step-1/chassis.step-1/frame pipe 3.step-4;Untitled.step-1/chassis.step-1/frame connector 3.step-8;Untitled.step-1/chassis.step-1/frame pipe 2.step-4;Untitled.step-1/chassis.step-1/frame connector 3.step-5,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
suspension_1,-0.085081,0.00042119,-0.0073347,0,0,0,0.69456,0.00041573,-1.6646E-10,-3.1978E-09,0.0014467,2.2187E-10,0.0017365,0,0,0,0,0,0,package://B2_mark_02/meshes/suspension_1.STL,0.96471,0.96471,0.95294,1,0,0,0,0,0,0,package://B2_mark_02/meshes/suspension_1.STL,,suspension assembly v8 kutti.step-1/suspension rod_1.step-42;suspension assembly v8 kutti.step-1/suspension rod_1.step-41;suspension assembly v8 kutti.step-1/suspension mount.step-1/Component1_4.step-20;steer.step-1/steering assembly.step-1/case v5.step-1;steer.step-3/steering assembly.step-1/case v5.step-1;suspension assembly v8 kutti.step-1/Screw between suspension mount and chassis.step-1/96144A258_Fine-Thread Alloy Steel Socket Head Screw.step-1;suspension assembly v8 kutti.step-1/Flange bearing for suspension mount.step-1/4390N114_Flanged Ultra-Thin Ball Bearing.step-1;differential b+c.step-1/differential component b_2.step-4/Component1_8.step-4;differential b+c.step-1/differential component c_2.step-4,Origin_suspensionJ_1,Axis1,suspensionJ_1,revolute,-0.175,-0.1,0.043,0,0,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
Steer_FL_1,-2.2204E-15,-0.032335,-0.05247,0,0,0,0.1576,0.00057382,7.8164E-19,1.4837E-18,0.00051647,-0.00013791,0.00023455,0,0,0,0,0,0,package://B2_mark_02/meshes/Steer_FL_1.STL,0.96078,0.96078,0.96471,1,0,0,0,0,0,0,package://B2_mark_02/meshes/Steer_FL_1.STL,,Component9.step-2,Origin_steerFL,Axis2,steerFL,revolute,-0.3975,0,-0.035,0,0,0,suspension_1,0,0,1,0,0,0,0,,,,,,,,
wheelFL,-1.2482E-05,1.1067E-05,-9.9464E-06,0,0,0,0.57698,0.0021487,-1.7024E-08,-8.7398E-08,0.0038235,8.3831E-09,0.0021487,0,0,0,0,0,0,package://B2_mark_02/meshes/wheelFL.STL,0.24706,0.24706,0.24706,1,0,0,0,0,0,0,package://B2_mark_02/meshes/wheelFL.STL,,Component1 (2).step-3,Origin_wheel_FL,Axis6,wheel_FL,revolute,0,0.008,-0.127,0,-0.031506,3.1416,Steer_FL_1,0,1,0,0,0,0,0,,,,,,,,
steer_BL,-2.7756E-15,-0.032335,-0.05247,0,0,0,0.1576,0.00057382,-9.7292E-20,-4.0506E-19,0.00051647,-0.00013791,0.00023455,0,0,0,0,0,0,package://B2_mark_02/meshes/steer_BL.STL,0.96078,0.96078,0.96471,1,0,0,0,0,0,0,package://B2_mark_02/meshes/steer_BL.STL,,Component9.step-3,Origin_steer_BL,Axis3,steer_BL,revolute,0.2175,0,-0.035,0,0,0,suspension_1,0,0,1,0,0,0,0,,,,,,,,
wheelBL,-1.4946E-05,8.1816E-06,-7.8177E-06,0,0,0,0.57701,0.0021482,-3.9981E-08,-7.3417E-08,0.0038226,-2.1036E-08,0.0021482,0,0,0,0,0,0,package://B2_mark_02/meshes/wheelBL.STL,0.24706,0.24706,0.24706,1,0,0,0,0,0,0,package://B2_mark_02/meshes/wheelBL.STL,,Component1 (2).step-1,Origin_wheelBL,Axis7,wheelBL,revolute,0,0.008,-0.127,0,-0.19461,3.1416,steer_BL,0,1,0,0,0,0,0,,,,,,,,
suspension_2,0.0048172,-0.047933,-0.0073349,0,0,0,0.69456,0.00041573,-2.7089E-10,3.1961E-09,0.0014467,1.1348E-07,0.0017365,0,0,0,0,0,0,package://B2_mark_02/meshes/suspension_2.STL,0.96471,0.96471,0.95294,1,0,0,0,0,0,0,package://B2_mark_02/meshes/suspension_2.STL,,suspension assembly v8 kutti.step-2/suspension rod_1.step-41;differential b+c.step-2/differential component b_2.step-4/Component1_8.step-4;suspension assembly v8 kutti.step-2/suspension rod_1.step-42;suspension assembly v8 kutti.step-2/suspension mount.step-1/Component1_4.step-20;steer.step-4/steering assembly.step-1/case v5.step-1;steer.step-2/steering assembly.step-1/case v5.step-1;differential b+c.step-2/differential component c_2.step-4;suspension assembly v8 kutti.step-2/Screw between suspension mount and chassis.step-1/96144A258_Fine-Thread Alloy Steel Socket Head Screw.step-1;suspension assembly v8 kutti.step-2/Flange bearing for suspension mount.step-1/4390N114_Flanged Ultra-Thin Ball Bearing.step-1,Origin_suspensionJ_2,Axis11,suspensionJ_2,revolute,0.2225,-0.01,0.043,0,1.7626E-05,-1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
steer_FR,0.3075,0.025165,-0.08747,0,0,0,0.1576,0.00057382,-5.4704E-17,-1.3425E-16,0.00051647,-0.00013791,0.00023455,0,0,0,0,0,0,package://B2_mark_02/meshes/steer_FR.STL,0.96078,0.96078,0.96471,1,0,0,0,0,0,0,package://B2_mark_02/meshes/steer_FR.STL,,Component9.step-1,Origin_steer_FR,Axis5,steer_FR,revolute,0,0.01,0,0,0,3.1416,suspension_2,5.9526E-05,0,1,0,0,0,0,,,,,,,,
wheelFR,-1.5082E-05,8.1816E-06,-6.5794E-06,0,0,0,0.57701,0.0021486,-4.1925E-08,-2.4022E-08,0.0038235,-1.3635E-08,0.0021489,0,0,0,0,0,0,package://B2_mark_02/meshes/wheelFR.STL,0.24706,0.24706,0.24706,1,0,0,0,0,0,0,package://B2_mark_02/meshes/wheelFR.STL,,Component1 (2).step-4,Origin_wheelFR,Axis9,wheelFR,revolute,0.3075,0.0555,-0.162,0,-0.48916,0,steer_FR,0,-1,0,0,0,0,0,,,,,,,,
steer_BR,-0.30751,0.021928,-0.087669,0,0,0,0.1576,0.00057382,-5.2157E-17,-1.2839E-16,0.00051647,-0.00013791,0.00023455,0,0,0,0,0,0,package://B2_mark_02/meshes/steer_BR.STL,0.96078,0.96078,0.96471,1,0,0,0,0,0,0,package://B2_mark_02/meshes/steer_BR.STL,,Component9.step-4,Origin_steer_BR,Axis4,steer_BR,revolute,0,0.0067628,0.00019885,0,0,3.1416,suspension_2,5.9526E-05,0,1,0,0,0,0,,,,,,,,
wheelBR,-1.3322E-05,9.8794E-06,-8.7944E-06,0,0,0,0.577,0.0021487,-1.7024E-08,-8.7398E-08,0.0038235,8.3831E-09,0.0021487,0,0,0,0,0,0,package://B2_mark_02/meshes/wheelBR.STL,0.24706,0.24706,0.24706,1,0,0,0,0,0,0,package://B2_mark_02/meshes/wheelBR.STL,,Component1 (2).step-2,Origin_wheelBR,Axis8,wheelBR,revolute,-0.30751,0.052263,-0.1622,0,-0.069204,0,steer_BR,0,-1,0,0,0,0,0,,,,,,,,
diffrential,-1.1102E-16,0.0046881,0,0,0,0,0.072511,4.5251E-06,1.9338E-20,5.9027E-19,0.00094731,2.9892E-21,0.00094443,0,0,0,0,0,0,package://B2_mark_02/meshes/diffrential.STL,0.96471,0.96471,0.95294,1,0,0,0,0,0,0,package://B2_mark_02/meshes/diffrential.STL,,differential bar v4.step-1,Origin_diffrentialJ,Axis10,diffrentialJ,revolute,0,-0.172,0.15,0,-0.0009328,0,base_link,0,-1,0,0,0,0,0,,,,,,,,
diff_1,-2.0403E-08,-0.017,-2.0403E-08,0,0,0,0.013668,1.9282E-06,3.6228E-11,-1.5917E-12,4.9695E-07,-3.6228E-11,1.9282E-06,0,0,0,0,0,0,package://B2_mark_02/meshes/diff_1.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://B2_mark_02/meshes/diff_1.STL,,end rod for differnetial v2.step-1/59935K73_Ball Joint Rod End_1_1.step-9;end rod for differnetial v2.step-1/59935K73_Ball Joint Rod End_2.step-9,Origin_diff_1,Axis12,diff_1,revolute,-0.17505,-0.0024,-0.053,-1.5717,0,-1.5708,diffrential,0,0,1,0,0,0,0,,,,,,,,
diff_2,-2.2451E-08,-0.017,-2.0294E-08,0,0,0,0.013668,1.9282E-06,3.5723E-11,-1.1021E-12,4.9695E-07,-3.5961E-11,1.9282E-06,0,0,0,0,0,0,package://B2_mark_02/meshes/diff_2.STL,0.62745,0.62745,0.62745,1,0,0,0,0,0,0,package://B2_mark_02/meshes/diff_2.STL,,end rod for differnetial v2.step-2/59935K73_Ball Joint Rod End_1_1.step-9;end rod for differnetial v2.step-2/59935K73_Ball Joint Rod End_2.step-9,Origin_diff_2,Axis13,diff_2,revolute,0.17319,-0.00078377,-0.053409,-1.6026,-0.074146,1.5732,diffrential,-1.1525E-05,0.00012878,1,0,0,0,0,,,,,,,,
